procédé;paramètre considéré;;nom cellule;valeur attribuée;unité;remarques
PRIMAIRE (simple+réactifs);;MV/MES boues sans physico-chimie;hyp_dec_I_boues_MV_MES;0.68;-;si réactif, on réduit les MV/MES suivant la dose de FeCl3
;;diamètre limite de décanteur (changement Pw installée);hyp_dec_I_diametre_limite;32;m;vu avec P. JOUAFFRE (07/11)
;;Pw râcleur installée diamètre < Dlimite;hyp_dec_I_Pw_racleur_inf_Dlim;0.55;kW;vu avec P. JOUAFFRE (07/11)
;;Pw râcleur installée diamètre > Dlimite;hyp_dec_I_Pw_racleur_sup_Dlim;0.75;kW;vu avec P. JOUAFFRE (07/11)
PRIMAIRE REACTIFS;;ratio Psoluble / Ptotal;hyp_dec_I_ratio_Psol_P;0.7;-;compartimentation eau brute
;;ratio PO4 / Psoluble;hyp_dec_I_ratio_PO4_Psol;0.8;-;compartimentation eau brute
;;conso élec préparation polymère;hyp_dec_I_elec_prepa_polymere;0.88;Wh/m3traité;ratio sur le débit entrant (moyenne mesures sites)
;;conso élec pompage polymère;hyp_dec_I_elec_pompage_polymere;0.705;Wh/m3traité;ratio sur le débit entrant (moyenne mesures sites)
;;conso élec injection FeCl3;hyp_dec_I_elec_injection_FeCl3;0.35;Wh/m3traité;ratio sur le débit entrant (moyenne mesures sites)
;;conso élec microsable;hyp_dec_I_elec_microsable;0.3;Wh/m3traité;ratio sur le débit entrant (moyenne mesures sites)
;;autres consommations électriques;hyp_dec_I_elec_divers;1.0866261398176291;Wh/m3traité;reprise vidanges partielles, horizontale à écumes
;;conso élec agitation coagulation;hyp_dec_I_conso_elec_coagulation_agitation;1.425;Wh/m3traité;ratio sur le débit entrant (moyenne mesures sites)
;;conso élec agitation floculation;hyp_dec_I_conso_elec_floculation_agitation;1.5;Wh/m3traité;ratio sur le débit entrant (moyenne mesures sites)
SECONDAIRE (tous process);;;;;;
BA (tous types);;"charge radier max ""râclé""";hyp_II_BA_charge_radier_max;5;kg/(m2.h);vu avec C. AMIEL
;;"charge radier max ""râclé-sucé""";;7.5;kg/(m2.h);vu avec C. AMIEL
;;"charge radier max ""Kruger""";;9;kg/(m2.h);vu avec C. AMIEL
;;rdt dissoultion eau claire fines bulles (H>=Hlim);hyp_II_BA_rdt_dissolution_O2_eau_claire;5.8;%/m;faible charge et aération prolongée / modif DCA 20/05/14
